,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/ PRN,PUT/ CALL,INVESTMENT DISCRETION,OTHER MANAGER,VOTING AUTHORITY SOLE,SHARED,NONE,date,Value % at Quarter
0,AMERICAN EXPRESS CO,COM,025816109,145942,1952142,SH, ,DFND,4,1952142,0,0,2013-08-15,0.001639223011751891
1,AMERICAN EXPRESS CO,COM,025816109,1287771,17225400,SH, ,DFND,"4,5",17225400,0,0,2013-08-15,0.014464265647084076
2,AMERICAN EXPRESS CO,COM,025816109,62786,839832,SH, ,DFND,"4,7",839832,0,0,2013-08-15,0.0007052134136564815
3,AMERICAN EXPRESS CO,COM,025816109,145266,1943100,SH, ,DFND,"4,8,11",1943100,0,0,2013-08-15,0.0016316301683213207
4,AMERICAN EXPRESS CO,COM,025816109,597679,7994634,SH, ,DFND,"4,10",7994634,0,0,2013-08-15,0.006713140634230437
5,AMERICAN EXPRESS CO,COM,025816109,8990330,120255879,SH, ,DFND,"4,11",99999999,0,0,2013-08-15,0.10097953857863656
6,AMERICAN EXPRESS CO,COM,025816109,104643,1399713,SH, ,DFND,"4,13",1399713,0,0,2013-08-15,0.0011753519454218327
7,BANK OF NEW YORK MELLON CORP,COM,064058100,225558,8041300,SH, ,DFND,4,8041300,0,0,2013-08-15,0.002533471269988989
8,BANK OF NEW YORK MELLON CORP,COM,064058100,50319,1793915,SH, ,DFND,"2,4,11",1793915,0,0,2013-08-15,0.0005651838588503885
9,BANK OF NEW YORK MELLON CORP,COM,064058100,241544,8611200,SH, ,DFND,"4,8,11",8611200,0,0,2013-08-15,0.0027130262922983013
10,BANK OF NEW YORK MELLON CORP,COM,064058100,15181,541214,SH, ,DFND,"4,5,9",541214,0,0,2013-08-15,0.0001705132486974651
11,BANK OF NEW YORK MELLON CORP,COM,064058100,158662,5656400,SH, ,DFND,"4,11",5656400,0,0,2013-08-15,0.001782094266835993
12,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,287406,4817400,SH, ,DFND,4,4817400,0,0,2013-08-15,0.0032281490517847085
13,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,282392,4733355,SH, ,DFND,"4,8,11",4733355,0,0,2013-08-15,0.003171831719002343
14,COCA COLA CO,COM,191216100,32088,800000,SH, ,DFND,4,800000,0,0,2013-08-15,0.00036041295858008435
15,COCA COLA CO,COM,191216100,3220159,80283200,SH, ,DFND,"4,5",80283200,0,0,2013-08-15,0.03616888033807922
